Origin,Destination,Operator,Bus Type,Departure Time,Arrival Time,Price,Date,Date Type
Chennai,Tirupur,zingbus plus,A/C Sleeper (2+1),23:50,07:25,1631.0,17-Jun-2026,Weekday
Chennai,Tirupur,KEN TRAVELS,Bharat Benz A/C Sleeper (2+1),21:20,06:15,959.0,17-Jun-2026,Weekday
Chennai,Tirupur,No 1 Air Travels,Bharat Benz A/C Sleeper (2+1),13:45,21:50,720.0,17-Jun-2026,Weekday
Chennai,Vellore,FRESHBUS,Electric A/C Seater (2+2),18:20,20:50,219.0,17-Jun-2026,Weekday
Chennai,Vellore,FRESHBUS,Electric A/C Seater/Sleeper (2+1),20:20,23:35,919.0,17-Jun-2026,Weekday
Chennai,Vellore,FRESHBUS,Electric A/C Seater/Sleeper (2+1),09:05,12:05,219.0,17-Jun-2026,Weekday
Chennai,Vellore,FRESHBUS,Electric A/C Seater (2+2),06:45,09:25,509.0,17-Jun-2026,Weekday
Chennai,Vellore,Sri Sugam Bus Tours and Travels,Scania A/C Semi Sleeper (2+2),04:50,06:59,546.0,17-Jun-2026,Weekday
Chennai,Vellore,FRESHBUS,Electric A/C Seater/Sleeper (2+1),10:55,13:35,869.0,17-Jun-2026,Weekday
Chennai,Vellore,FRESHBUS,Electric A/C Seater/Sleeper (2+1),10:05,12:55,979.0,17-Jun-2026,Weekday
Chennai,Vellore,Sri Sugam Bus Tours and Travels,Bharat Benz A/C Seater /Sleeper (2+1),16:00,19:09,398.0,17-Jun-2026,Weekday
Chennai,Vellore,KBS Luxury Bus,A/C Sleeper (2+1),07:30,10:00,674.0,17-Jun-2026,Weekday
Chennai,Vellore,KBS Luxury Bus,A/C Seater / Sleeper (2+1),14:00,17:10,566.0,17-Jun-2026,Weekday
Chennai,Hosur,KMRL Kalaimakal(sk),A/C Seater / Sleeper (2+1),22:30,04:40,500.0,17-Jun-2026,Weekday
Chennai,Hosur,KMRL kalaimakal Road Lines,A/C Seater/Sleeper (2+1),23:50,05:50,550.0,17-Jun-2026,Weekday
Chennai,Hosur,FlixBus,A/C Sleeper (2+1),22:55,04:10,637.14,17-Jun-2026,Weekday
Chennai,Hosur,MMK Travels,Bharat Benz A/C Sleeper (2+1),22:20,05:00,741.0,17-Jun-2026,Weekday
Chennai,Hosur,KMRL Kalaimakal,A/C Seater / Sleeper (2+1),23:15,05:25,540.0,17-Jun-2026,Weekday
Chennai,Hosur,KBS Luxury Bus,A/C Sleeper (2+1),23:15,04:40,656.0,17-Jun-2026,Weekday
Chennai,Hosur,KBS Luxury Bus,A/C Seater / Sleeper (2+1),23:59,05:50,566.0,17-Jun-2026,Weekday
Chennai,Hosur,RKK Travels,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),21:00,02:00,795.0,17-Jun-2026,Weekday
Chennai,Hosur,KBS Luxury Bus,A/C Sleeper (2+1),03:25,08:30,701.0,17-Jun-2026,Weekday
Chennai,Hosur,KBS Luxury Bus,A/C Sleeper (2+1),17:30,23:45,719.0,17-Jun-2026,Weekday
Chennai,Thanjavur,Sri Srinivasa Bus,A/C Sleeper (2+1),22:15,05:50,800.0,17-Jun-2026,Weekday
Chennai,Thanjavur,SBM TRAANSPORT,A/C Sleeper (2+1),22:00,05:15,1200.0,17-Jun-2026,Weekday
Chennai,Thanjavur,ALIF TRAVELS,A/C Sleeper (2+1),22:35,06:20,1025.0,17-Jun-2026,Weekday
Chennai,Thanjavur,MS Transport,A/C Seater / Sleeper (2+1),22:40,06:30,500.0,17-Jun-2026,Weekday
Chennai,Thanjavur,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:45,05:50,679.0,17-Jun-2026,Weekday
Chennai,Thanjavur,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Seater / Sleeper (2+1),22:15,06:00,647.0,17-Jun-2026,Weekday
Chennai,Thanjavur,Tranzking Travels,A/C Seater / Sleeper (2+1),22:45,06:30,545.0,17-Jun-2026,Weekday
Chennai,Thanjavur,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Sleeper (2+1),22:00,05:00,1142.0,17-Jun-2026,Weekday
Chennai,Thanjavur,Sri Srinivasa Bus,Non A/C Seater / Sleeper (2+1),21:20,05:20,500.0,17-Jun-2026,Weekday
Chennai,Thanjavur,Tranzking Travels,A/C Seater / Sleeper (2+1),13:00,21:45,861.0,17-Jun-2026,Weekday
Chennai,Tuticorin,Senthur  velan Travels,Non A/C Seater / Sleeper (2+1),19:00,06:00,1100.0,17-Jun-2026,Weekday
Chennai,Tuticorin,zingbus plus,A/C Sleeper (2+1),19:00,06:05,1926.0,17-Jun-2026,Weekday
Chennai,Tuticorin,VKV Travels,A/C Sleeper (2+1),19:15,06:05,1511.0,17-Jun-2026,Weekday
Chennai,Tuticorin,Vignesh TAT,A/C Sleeper (2+1),20:00,07:40,1007.0,17-Jun-2026,Weekday
Chennai,Tuticorin,Sri Siva Travels,Non A/C Seater / Sleeper (2+1),19:00,04:45,3999.0,17-Jun-2026,Weekday
Chennai,Tuticorin,Sasi Travels,Non A/C Seater / Sleeper (2+1),18:05,05:05,800.0,17-Jun-2026,Weekday
Chennai,Tuticorin,National Travels CHN,Bharat Benz A/C Seater /Sleeper (2+1),20:05,06:35,800.0,17-Jun-2026,Weekday
Chennai,Tuticorin,AL AYAAN TRAVELS,Non A/C Seater / Sleeper (2+1),20:30,06:35,999.0,17-Jun-2026,Weekday
Chennai,Tuticorin,SBM TRAANSPORT,A/C Sleeper (2+1),19:15,05:30,1599.0,17-Jun-2026,Weekday
Chennai,Tuticorin,PRM Roadways,Bharat Benz A/C Seater /Sleeper (2+1),17:30,04:30,1500.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,Rathimeena Travels C,Non A/C Seater / Sleeper (2+1),23:05,05:30,590.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,VIVIN Travels,A/C Sleeper (2+1),21:30,05:00,1100.0,17-Jun-2026,Weekday
Chennai,Kumbakonam,Divya Transport,A/C Sleeper (2+1),20:40,04:40,630.0,17-Jun-2026,Weekday
